23:40:55.368 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:55.664 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:55.961 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:55.961 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Neue Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 7 festgelegt!
23:40:55.976 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 7 wurde geändert, neue Geschwindigkeit ist 25.0 Kilometer pro Stunde
23:40:55.976 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:55.992 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:55.992 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.205554302236663 Minuten
23:40:56.257 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:56.569 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:56.865 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:57.068 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Neue Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 15 festgelegt!
23:40:57.084 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 15 wurde geändert, neue Geschwindigkeit ist 25.0 Kilometer pro Stunde
23:40:57.084 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:57.099 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:57.099 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.205554302236663 Minuten
23:40:57.162 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:57.458 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:57.474 INFO  [b.liftweb.Boot] [] - Shutting down
