17:44:01.592 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Der Pfad nach Dijkstra lautet: List(139, 44, 33, 1, 0, 43, 109, 46, 53, 47, 102, 51, 78, 49, 68, 14, 42, 134, 127, 79, 27, 15, 37, 112, 77, 111, 57, 28, 136, 73, 2, 88, 40, 94)
17:44:01.607 INFO  [d.f.a.rest.Rest] [] - erti-Rest: Dijkstra manuell ausgeführt
17:44:01.623 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Der Pfad nach Dijkstra lautet: List(139, 44, 33, 1, 0, 43, 109, 46, 53, 47, 102, 51, 78, 49, 68, 14, 42, 134, 127, 79, 27, 15, 37, 112, 77, 111, 57, 28, 136, 73, 2, 88, 40, 94)
17:44:01.654 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:44:01.654 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 131 beträgt 27.7778 nach Anwendung des Staufaktors 2.0,
17:44:01.654 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von 291151430 nach 716613041
17:44:01.654 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Der Pfad nach Dijkstra lautet: List(139, 44, 33, 1, 0, 43, 109, 46, 53, 47, 102, 51, 78, 49, 68, 14, 42, 134, 127, 79, 27, 15, 37, 112, 77, 111, 57, 28, 136, 73, 2, 88, 40, 94)
17:44:01.763 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:44:01.763 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 158 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:44:01.763 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von 291151430 nach 716613041
17:44:01.763 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Der Pfad nach Dijkstra lautet: List(139, 44, 33, 1, 0, 43, 109, 46, 53, 47, 102, 51, 78, 49, 68, 14, 42, 134, 127, 79, 27, 15, 37, 112, 77, 111, 57, 28, 136, 73, 2, 88, 40, 94)
17:44:01.857 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:44:01.857 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 104 beträgt 4.8611 nach Anwendung des Staufaktors 0.5,
17:44:01.857 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von 291151430 nach 716613041
17:44:01.857 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Der Pfad nach Dijkstra lautet: List(139, 44, 33, 1, 0, 43, 109, 46, 53, 47, 102, 51, 78, 49, 68, 14, 42, 134, 127, 79, 27, 15, 37, 112, 77, 111, 57, 28, 136, 73, 2, 88, 40, 94)
17:44:01.951 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:44:01.951 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 23 beträgt 6.94445 nach Anwendung des Staufaktors 0.5,
17:44:01.951 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von 291151430 nach 716613041
