14:24:24.329 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Initialized
14:24:24.329 INFO  [d.f.a.antnet.AntMap] [] - Preparing
14:24:24.376 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways data
14:24:24.501 INFO  [d.f.a.antnet.AntMap] [] - 208 ant ways data computed, took 125 ms
14:24:24.501 INFO  [d.f.a.antnet.AntMap] [] - Computing nodes
14:24:24.501 INFO  [d.f.a.antnet.AntMap] [] - 144 nodes computed
14:24:24.501 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initializing
14:24:24.517 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initialized
14:24:24.517 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways
14:24:24.579 INFO  [d.f.a.antnet.AntMap] [] - Ant ways computed
14:24:24.579 INFO  [d.f.a.antnet.AntMap] [] - Computing incoming and outgoing ways
14:24:24.595 INFO  [d.f.a.antnet.AntMap] [] - Incoming and outgoing ways computed
14:24:24.595 INFO  [d.f.a.antnet.AntMap] [] - Computing sources and destinations
14:24:24.595 INFO  [d.f.a.antnet.AntMap] [] - 140 sources and 140 destinations computed, took 0 ms
14:24:24.595 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Initialized
14:24:24.985 WARN  [d.f.a.c.Statistics] [] - Unknown message: CometName(statistics)
14:24:25.000 WARN  [d.f.a.c.UserInterface] [] - Unknown message: CometName(userInterface)
14:24:30.410 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 30.000015924107636 Kilometer pro Stunde für Knoten 97
14:24:31.003 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 5.000004 Kilometer pro Stunde für Knoten 203
14:24:31.595 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 5.000000000000001 Kilometer pro Stunde für Knoten 91
14:24:32.204 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 35.00000000000001 Kilometer pro Stunde für Knoten 156
14:24:32.797 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 30.000000000000004 Kilometer pro Stunde für Knoten 39
14:24:33.405 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 15.000000000000002 Kilometer pro Stunde für Knoten 101
14:24:33.998 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 30.000000000000004 Kilometer pro Stunde für Knoten 41
14:24:34.606 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 35.00000000000001 Kilometer pro Stunde für Knoten 190
14:24:35.199 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 45.000036 Kilometer pro Stunde für Knoten 75
14:24:35.807 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 40.00000000000001 Kilometer pro Stunde für Knoten 148
14:24:36.400 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 12.000000000000002 Kilometer pro Stunde für Knoten 93
14:24:37.009 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 25.00002 Kilometer pro Stunde für Knoten 111
14:24:37.602 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 15.000000000000005 Kilometer pro Stunde für Knoten 102
14:24:38.194 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 20.000016 Kilometer pro Stunde für Knoten 79
